Use dark mode frequency,Preferred everyday mode,Why prefer that mode,Satisfaction with text visibility,Comfort scale (1-10),Eye strain difference noticed,More visually attractive,Comfort after long use in dark mode,Readability of dark vs light,Date
Never,Dark mode,Saves battery,Neutral,5,Yes: Light mode reduces eye strain,Dark mode,Uncomfortable,Slightly better,06 November 2025
Frequently,Dark mode,Easier on the eyes,Satisfied,5,No difference,Light mode,Very comfortable,Slightly better,06 November 2025
Sometimes,Light mode,Easier on the eyes,Neutral,5,Yes: Dark mode reduces eye strain,Dark mode,Neutral,Slightly worse,06 November 2025
Frequently,Dark mode,Easier on the eyes,Very satisfied,6,No difference,Light mode,Neutral,Slightly worse,06 November 2025
Always,Light mode,Looks better,Very satisfied,2,Yes: Dark mode reduces eye strain,Dark mode,Very comfortable,About the same,06 November 2025
Frequently,Light mode,Looks better,Very satisfied,8,Yes: Light mode reduces eye strain,Dark mode,Neutral,Slightly better,06 November 2025
Sometimes,Dark mode,Easier on the eyes,Dissatisfied,8,Yes: Light mode reduces eye strain,Light mode,Neutral,Slightly better,06 November 2025
Always,Light mode,Easier on the eyes,Neutral,2,No difference,Light mode,Very uncomfortable,Slightly better,06 November 2025
Frequently,Dark mode,Easier on the eyes,Neutral,7,Yes: Dark mode reduces eye strain,Dark mode,Uncomfortable,Slightly worse,06 November 2025
Frequently,Dark mode,Looks better,Very satisfied,10,No difference,Light mode,Somewhat comfortable,Much better,07 November 2025
Frequently,Light mode,Looks better,Satisfied,5,No difference,Light mode,Very comfortable,Slightly worse,07 November 2025
Frequently,Dark mode,Looks better,Satisfied,6,Yes: Dark mode reduces eye strain,Light mode,Uncomfortable,About the same,07 November 2025
Sometimes,Dark mode,Looks better,Neutral,5,No difference,Dark mode,Neutral,Slightly worse,07 November 2025
Frequently,Dark mode,Looks better,Satisfied,6,Yes: Dark mode reduces eye strain,Light mode,Neutral,About the same,07 November 2025
Sometimes,Dark mode,Easier on the eyes,Satisfied,6,No difference,Light mode,Very comfortable,About the same,07 November 2025
Always,Dark mode,Looks better,Very dissatisfied,10,No difference,Light mode,Somewhat comfortable,Slightly better,08 November 2025
Sometimes,Light mode,Looks better,Neutral,4,Yes: Dark mode reduces eye strain,Dark mode,Very comfortable,Much better,08 November 2025
Sometimes,Dark mode,Easier on the eyes,Very dissatisfied,9,Yes: Light mode reduces eye strain,Dark mode,Somewhat comfortable,About the same,08 November 2025
Sometimes,Dark mode,Saves battery,Satisfied,8,Yes: Dark mode reduces eye strain,Light mode,Somewhat comfortable,Slightly worse,08 November 2025
Frequently,Light mode,Easier on the eyes,Dissatisfied,5,No difference,Dark mode,Neutral,About the same,09 November 2025
Sometimes,Dark mode,Looks better,Dissatisfied,6,No difference,Dark mode,Uncomfortable,Much better,09 November 2025
Sometimes,Dark mode,Looks better,Satisfied,9,Yes: Light mode reduces eye strain,Light mode,Somewhat comfortable,Slightly better,09 November 2025
Always,Dark mode,Looks better,Satisfied,5,Yes: Dark mode reduces eye strain,Light mode,Neutral,Slightly worse,10 November 2025
Frequently,Dark mode,Easier on the eyes,Very satisfied,4,Yes: Dark mode reduces eye strain,Light mode,Uncomfortable,Slightly better,10 November 2025
Sometimes,Dark mode,Easier on the eyes,Very dissatisfied,7,Yes: Light mode reduces eye strain,Dark mode,Very comfortable,Much worse,12 November 2025
Always,Dark mode,Saves battery,Satisfied,7,Yes: Dark mode reduces eye strain,Dark mode,Very comfortable,Much better,12 November 2025
Always,Dark mode,Easier on the eyes,Very satisfied,7,Yes: Light mode reduces eye strain,Light mode,Somewhat comfortable,Much worse,13 November 2025
Sometimes,Dark mode,Habit,Very satisfied,8,Yes: Dark mode reduces eye strain,Dark mode,Very comfortable,About the same,14 November 2025
Always,Light mode,Easier on the eyes,Satisfied,5,Yes: Light mode reduces eye strain,Dark mode,Very uncomfortable,Slightly better,14 November 2025
Sometimes,Light mode,Saves battery,Satisfied,1,Yes: Light mode reduces eye strain,Dark mode,Neutral,About the same,14 November 2025
Sometimes,Light mode,Easier on the eyes,Neutral,4,Yes: Dark mode reduces eye strain,Light mode,Uncomfortable,Slightly better,14 November 2025
Frequently,Light mode,Saves battery,Neutral,4,Yes: Light mode reduces eye strain,Light mode,Neutral,Slightly better,14 November 2025
Sometimes,Light mode,Easier on the eyes,Satisfied,4,Yes: Dark mode reduces eye strain,Dark mode,Very uncomfortable,Slightly worse,14 November 2025
Sometimes,Light mode,Saves battery,Very satisfied,7,No difference,Dark mode,Somewhat comfortable,Much better,15 November 2025
Sometimes,Light mode,Easier on the eyes,Neutral,5,No difference,Light mode,Very comfortable,About the same,15 November 2025
Always,Dark mode,Looks better,Very satisfied,10,Yes: Dark mode reduces eye strain,Light mode,Very uncomfortable,Much better,15 November 2025
Sometimes,Dark mode,Easier on the eyes,Very satisfied,10,Yes: Dark mode reduces eye strain,Dark mode,Somewhat comfortable,About the same,15 November 2025
Always,Light mode,Personal preference,Neutral,3,No difference,Light mode,Uncomfortable,Much better,16 November 2025
Never,Dark mode,Looks better,Dissatisfied,10,Yes: Light mode reduces eye strain,Dark mode,Uncomfortable,Slightly better,16 November 2025
Frequently,Dark mode,Looks better,Very satisfied,8,No difference,Light mode,Uncomfortable,About the same,17 November 2025
Frequently,Dark mode,Easier on the eyes,Very satisfied,10,Yes: Dark mode reduces eye strain,Dark mode,Neutral,About the same,18 November 2025
Frequently,Dark mode,Looks better,Dissatisfied,9,No difference,Light mode,Neutral,Much worse,18 November 2025
Frequently,Light mode,Easier on the eyes,Neutral,8,No difference,Light mode,Uncomfortable,About the same,18 November 2025
Frequently,Light mode,Easier on the eyes,Neutral,4,Yes: Light mode reduces eye strain,Dark mode,Neutral,About the same,18 November 2025
Always,Dark mode,Easier on the eyes,Satisfied,8,Yes: Light mode reduces eye strain,Light mode,Neutral,Slightly better,18 November 2025
